"sample_id","site_code_raw","site_code","sample_type","habitat","mapping_status","normalization_note","environment_join_status","fticr_profile_available","qc_flag","nonchim","meets_rarefaction_depth"
"hja2016_147","163","163","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",116303,TRUE
"hja2016_148","165","165","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",110482,TRUE
"hja2016_149","170","170","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",369,FALSE
"hja2016_150","53","53","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",137116,TRUE
"hja2016_151","64","64","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",964977,TRUE
"hja2016_152","66","66","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",799955,TRUE
"hja2016_155","82","82","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",116837,TRUE
"hja2016_157","43","43","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",FALSE,"OK",96913,TRUE
"hja2016_158","47","47","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",1077,FALSE
"hja2016_159","49","49","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",83304,TRUE
"hja2016_160","50","50","stream sediment","sediment","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",236788,TRUE
"hja2016_183","HJA-2016_soil_01","HJA-2016_soil_01","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",804564,TRUE
"hja2016_184","HJA-2016_soil_03","HJA-2016_soil_03","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",68951,TRUE
"hja2016_185","HJA-2016_soil_04","HJA-2016_soil_04","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",46147,TRUE
"hja2016_188","HJA-2016_soil_07","HJA-2016_soil_07","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",53759,TRUE
"hja2016_189","HJA-2016_soil_08","HJA-2016_soil_08","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",151838,TRUE
