"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged"
"hja2016_031","HJA2016_Plate2",13592,12497,12472,12383,12209
"hja2016_032","HJA2016_Plate2",16742,14632,14535,14496,14275
"hja2016_035","HJA2016_Plate2",34407,32135,31975,31844,30927
"hja2016_037","HJA2016_Plate2",16782,14633,14541,14326,13985
"hja2016_040","HJA2016_Plate2",11244,9963,9921,9905,9824
"hja2016_042","HJA2016_Plate2",14961,13436,13301,13245,12825
"hja2016_043","HJA2016_Plate2",22757,20770,20699,20639,20389
"hja2016_044","HJA2016_Plate2",12054,10626,10576,10511,10329
"hja2016_049","HJA2016_Plate2",18077,14259,14130,14111,13817
"hja2016_050","HJA2016_Plate2",56388,49578,49364,48984,48088
"hja2016_052","HJA2016_Plate2",70565,64184,63837,63596,61576
"hja2016_056","HJA2016_Plate2",57844,52615,52194,51896,49226
"hja2016_057","HJA2016_Plate2",21570,14630,14430,14300,13817
"hja2016_059","HJA2016_Plate2",25733,20846,20486,20505,19659
"hja2016_062","HJA2016_Plate2",108081,95085,94509,94254,91168
"hja2016_064","HJA2016_Plate2",27571,23301,23112,22882,22271
"hja2016_099","HJA2016_Plate2",90371,84374,80581,80706,71493
"hja2016_100","HJA2016_Plate2",102792,95953,90905,91199,81718
"hja2016_101","HJA2016_Plate2",89702,83295,79575,79757,70566
"hja2016_102","HJA2016_Plate2",62601,58305,53651,53941,45233
"hja2016_103","HJA2016_Plate2",94718,87385,81320,81696,70047
"hja2016_105","HJA2016_Plate2",92604,86276,81289,81682,70330
"hja2016_106","HJA2016_Plate2",705421,656146,638560,638815,594809
"hja2016_107","HJA2016_Plate2",737197,685631,663860,664250,606015
"hja2016_109","HJA2016_Plate2",70037,64099,62959,62716,58372
"hja2016_110","HJA2016_Plate2",132403,122857,121650,121422,115165
"hja2016_111","HJA2016_Plate2",93919,87062,81797,82182,72086
"hja2016_114","HJA2016_Plate2",148958,137899,130661,131017,114854
"hja2016_116","HJA2016_Plate2",124929,116526,110123,110584,96267
"hja2016_119","HJA2016_Plate2",716707,668437,644593,645487,584659
"hja2016_121","HJA2016_Plate2",619295,577682,565882,565023,530395
"hja2016_122","HJA2016_Plate2",98656,92501,90172,90289,82247
"hja2016_123","HJA2016_Plate2",1512,294,280,276,276
"hja2016_125","HJA2016_Plate2",92318,86485,83708,83766,74875
"hja2016_126","HJA2016_Plate2",5912,4904,4778,4788,4603
"hja2016_161","HJA2016_Plate2",389,227,216,214,204
"hja2016_164","HJA2016_Plate2",755914,710349,687241,690948,606700
"hja2016_165","HJA2016_Plate2",168,41,39,36,36
"hja2016_166","HJA2016_Plate2",165055,154324,152058,151722,142850
"hja2016_167","HJA2016_Plate2",49253,45661,43773,43824,38261
"hja2016_168","HJA2016_Plate2",318,238,222,227,196
"hja2016_169","HJA2016_Plate2",89378,82912,77738,78274,66772
"hja2016_170","HJA2016_Plate2",106363,99291,94790,95246,84149
"hja2016_171","HJA2016_Plate2",306,154,131,128,116
"hja2016_174","HJA2016_Plate2",7924,7320,7099,7078,6601
"hja2016_176","HJA2016_Plate2",193,100,78,78,65
"hja2016_177","HJA2016_Plate2",115104,107187,103289,103376,92077
"hja2016_179","HJA2016_Plate2",55983,52702,51149,51125,46666
"hja2016_180","HJA2016_Plate2",153801,143341,138845,138922,126774
"hja2016_181","HJA2016_Plate2",114241,106507,102358,102516,91138
"hja2016_193","HJA2016_Plate2",110905,103023,99116,99575,89982
"hja2016_194","HJA2016_Plate2",81619,76148,72255,72644,62036
"hja2016_195","HJA2016_Plate2",455563,424325,415951,414458,373785
"hja2016_196","HJA2016_Plate2",1383715,1278650,1250091,1250765,1133588
"hja2016_197","HJA2016_Plate2",61470,56602,53553,53566,45765
"hja2016_198","HJA2016_Plate2",248484,231839,222239,222949,195527
"hja2016_199","HJA2016_Plate2",166448,154737,150075,150210,135718
"hja2016_200","HJA2016_Plate2",324806,298553,289172,289301,254900
