"reads.in","reads.out","sample_id"
13592,12497,"hja2016_031"
16742,14632,"hja2016_032"
34407,32135,"hja2016_035"
16782,14633,"hja2016_037"
11244,9963,"hja2016_040"
14961,13436,"hja2016_042"
22757,20770,"hja2016_043"
12054,10626,"hja2016_044"
18077,14259,"hja2016_049"
56388,49578,"hja2016_050"
70565,64184,"hja2016_052"
57844,52615,"hja2016_056"
21570,14630,"hja2016_057"
25733,20846,"hja2016_059"
108081,95085,"hja2016_062"
27571,23301,"hja2016_064"
90371,84374,"hja2016_099"
102792,95953,"hja2016_100"
89702,83295,"hja2016_101"
62601,58305,"hja2016_102"
94718,87385,"hja2016_103"
92604,86276,"hja2016_105"
705421,656146,"hja2016_106"
737197,685631,"hja2016_107"
70037,64099,"hja2016_109"
132403,122857,"hja2016_110"
93919,87062,"hja2016_111"
148958,137899,"hja2016_114"
124929,116526,"hja2016_116"
716707,668437,"hja2016_119"
619295,577682,"hja2016_121"
98656,92501,"hja2016_122"
1512,294,"hja2016_123"
92318,86485,"hja2016_125"
5912,4904,"hja2016_126"
389,227,"hja2016_161"
755914,710349,"hja2016_164"
168,41,"hja2016_165"
165055,154324,"hja2016_166"
49253,45661,"hja2016_167"
318,238,"hja2016_168"
89378,82912,"hja2016_169"
106363,99291,"hja2016_170"
306,154,"hja2016_171"
7924,7320,"hja2016_174"
193,100,"hja2016_176"
115104,107187,"hja2016_177"
55983,52702,"hja2016_179"
153801,143341,"hja2016_180"
114241,106507,"hja2016_181"
110905,103023,"hja2016_193"
81619,76148,"hja2016_194"
455563,424325,"hja2016_195"
1383715,1278650,"hja2016_196"
61470,56602,"hja2016_197"
248484,231839,"hja2016_198"
166448,154737,"hja2016_199"
324806,298553,"hja2016_200"
