"source_file","source_sample_type","source_column","analysis_column","predictor_block","units","recommended_transformation","primary_44_site","notes"
"data/hja-env_data_clean.csv","Hyporheic","DO_arrival_perc_sat","hyporheic_do_percent_saturation","hyporheic_water","%","none",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","NPOC_mg/L","hyporheic_npoc_mg_l","hyporheic_dom","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","SUVA254","hyporheic_suva254","hyporheic_dom","","none",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Spectral_Slope_Ratio","hyporheic_spectral_slope_ratio","hyporheic_dom","","none",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","TDN_mg/L","hyporheic_tdn_mg_l","hyporheic_nutrients","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Integrated_Absorbance_300-400_nm_1/m","hyporheic_integrated_absorbance_300_400_1_m","hyporheic_dom","1/m","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Decadic_Absorbance_at_254_nm_1/m","hyporheic_absorbance_254_1_m","hyporheic_dom","1/m","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Intensity_of_EEM_peak_A_(250-450)_Raman_units","hyporheic_eem_peak_a_ru","hyporheic_dom","Raman units","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Intensity_of_EEM_peak_C_(350-450)_Raman_units","hyporheic_eem_peak_c_ru","hyporheic_dom","Raman units","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Intensity_of_EEM_peak_T_(275-340)_Raman_units","hyporheic_eem_peak_t_ru","hyporheic_dom","Raman units","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Fluorescence_Index_(Cory_et_al._2010)","hyporheic_fluorescence_index","hyporheic_dom","","none",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Chloride_mg/L","hyporheic_chloride_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Sulfate_mg/L","hyporheic_sulfate_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Sodium_mg/L","hyporheic_sodium_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Potassium_mg/L","hyporheic_potassium_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Magnesium_mg/L","hyporheic_magnesium_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Calcium_mg/L","hyporheic_calcium_mg_l","hyporheic_ions","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","PO4_mg/L","hyporheic_po4_mg_l","hyporheic_nutrients","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","Surface_NO2_NO3_mg/L_as_NO3","hyporheic_no2_no3_mg_l_as_no3","hyporheic_nutrients","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Hyporheic","NH3_mg/L_as_NH3","hyporheic_nh3_mg_l_as_nh3","hyporheic_nutrients","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","sediment_Organic_Content_%","sediment_organic_content_percent","sediment","%","none",TRUE,""
"data/hja-env_data_clean.csv","Sediment","sediment_Organic_Content_%_R2","sediment_organic_content_duplicate_percent","sediment_qc","%","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","sediment_NAG_µmol/(g*hr)","sediment_nag_umol_g_hr","sediment_enzyme","umol/(g*hr)","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","sediment_LAP_µmol/(g*hr)","sediment_lap_umol_g_hr","sediment_enzyme","umol/(g*hr)","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","sediment_GLU_µmol/(g*hr)","sediment_glu_umol_g_hr","sediment_enzyme","umol/(g*hr)","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","sediment_AP_µmol/(g*hr)","sediment_ap_umol_g_hr","sediment_enzyme","umol/(g*hr)","log10",TRUE,""
