"analysis_column","source_sample_type","source_column","predictor_block","primary_44_site","n_sites","n_observed","n_missing","proportion_missing"
"sediment_ap_umol_g_hr","Sediment","sediment_AP_µmol/(g*hr)","sediment_enzyme",TRUE,44,44,0,0
"sediment_nag_duplicate_umol_g_hr","Sediment","sediment_NAG_(DUP)_µmol/(g*hr)","sediment_qc",FALSE,44,8,36,0.818181818181818
"sediment_lap_duplicate_umol_g_hr","Sediment","sediment_LAP_(DUP)_µmol/(g*hr)","sediment_qc",FALSE,44,8,36,0.818181818181818
"sediment_glu_duplicate_umol_g_hr","Sediment","sediment_GLU_(DUP)_µmol/(g*hr)","sediment_qc",FALSE,44,8,36,0.818181818181818
"sediment_ap_duplicate_umol_g_hr","Sediment","sediment_AP_(DUP)_µmol/(g*hr)","sediment_qc",FALSE,44,8,36,0.818181818181818
"sediment_d10_um","Sediment","D10_um","sediment_texture",FALSE,44,17,27,0.613636363636364
"sediment_d50_um","Sediment","D50_um","sediment_texture",FALSE,44,17,27,0.613636363636364
"sediment_d90_um","Sediment","D90_um","sediment_texture",FALSE,44,17,27,0.613636363636364
"sediment_gravel_percent","Sediment","perc_gravel","sediment_texture",FALSE,44,17,27,0.613636363636364
"sediment_sand_percent","Sediment","perc_sand","sediment_texture",FALSE,44,17,27,0.613636363636364
"sediment_mud_percent","Sediment","perc_mud","sediment_texture",FALSE,44,17,27,0.613636363636364
