"analysis_column","source_sample_type","source_column","predictor_block","n_sites","n_observed","n_missing","proportion_missing"
"site_utm_x_m","Stream","Stream_Centerline_UTM_Zone_10N_X_m","landscape",59,59,0,0
"site_utm_y_m","Stream","Stream_Centerline_UTM_Zone_10N_Y_m","landscape",59,59,0,0
"site_segment_number","Stream","Segment_Number","landscape",59,59,0,0
"site_drainage_area_ha","Stream","Drainage_area_ha","landscape",59,59,0,0
"site_valley_slope_m_m","Stream","Valley_Slope_m/m","landscape",59,59,0,0
"site_stream_slope_m_m","Stream","Stream_Slope_m/m","landscape",59,59,0,0
"site_valley_width_m","Stream","Valley_Width_m","landscape",59,59,0,0
"site_segment_valley_avg_slope_m_m","Stream","Segment_Valley_Avg_Slope_m/m","landscape",59,59,0,0
"site_segment_stream_avg_slope_m_m","Stream","Segment_Stream_Avg_Slope_m/m","landscape",59,59,0,0
"site_segment_valley_avg_width_m","Stream","Segment_Valley_Avg_Width_m","landscape",59,59,0,0
"site_stream_order","Stream","Stream_Order","landscape",59,59,0,0
"site_segment_sinuosity_m_m","Stream","Segment_Sinuosity_m/m","landscape",59,59,0,0
"site_distance_to_outlet_m","Stream","Valley_Distance_to_outlet_m","landscape",59,59,0,0
"sediment_hydraulic_conductivity_geomean_m_s","Sediment","geometric_Mean_Hydaulic_Conductivity_m/s","hydrology",59,54,5,0.0847457627118644
"sediment_piezometer_depth_top_m","Sediment","Piezo_depth_below_streambed_(to_top)_m","hydrology",59,56,3,0.0508474576271186
"sediment_piezometer_depth_bottom_m","Sediment","Piezo_depth_below_streambed_(to_bottom)_m","hydrology",59,56,3,0.0508474576271186
"site_channel_width_m","Stream","Channel_width","hydrology",59,59,0,0
"site_channel_depth_m","Stream","Channel_depth_m","hydrology",59,59,0,0
"site_discharge_downstream_m3_s","Stream","Tracer_Downstream_discahrge_m3/s","hydrology",59,43,16,0.271186440677966
"site_discharge_upstream_m3_s","Stream","Tracer_Upstream_discharge_m3/s","hydrology",59,43,16,0.271186440677966
"site_peak_travel_time_hr","Stream","Peak_travel_time_hr","hydrology",59,43,16,0.271186440677966
"site_velocity_m_s","Stream","Velocity_m/s","hydrology",59,43,16,0.271186440677966
"surface_water_temperature_c","Stream","Water_Temp_arrival_deg_C","surface_water",59,59,0,0
"surface_do_mg_l","Stream","DO_arrival_mg/L","surface_water",59,59,0,0
"surface_do_percent_saturation","Stream","DO_arrival_perc_sat","surface_water",59,59,0,0
"surface_npoc_mg_l","Stream","NPOC_mg/L","surface_dom",59,59,0,0
"surface_suva254","Stream","SUVA254","surface_dom",59,59,0,0
"surface_spectral_slope_ratio","Stream","Spectral_Slope_Ratio","surface_dom",59,59,0,0
"surface_tdn_mg_l","Stream","TDN_mg/L","surface_nutrients",59,59,0,0
"surface_integrated_absorbance_300_400_1_m","Stream","Integrated_Absorbance_300-400_nm_1/m","surface_dom",59,59,0,0
"surface_absorbance_254_1_m","Stream","Decadic_Absorbance_at_254_nm_1/m","surface_dom",59,59,0,0
"surface_absorbance_300_1_m","Stream","Decadic_Absorbance_at_300_nm_1/m","surface_dom",59,59,0,0
