"sample_id","sample_year","run_id","plate","lane_sample","site_code_raw","site_code","sample_type_original","sample_type","forward_filename","reverse_filename","forward_path","reverse_path","include","is_control","control_type","metadata_source","metadata_row","mapping_status","normalization_note","biosample_accession","sra_run_accession","forward_file","reverse_file"
"hja2016_015",2016,"HJA2016_Plate1","Plate1","S11","47","47","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",66,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_015_S11_L001_R2_001.fastq.gz"
"hja2016_016",2016,"HJA2016_Plate1","Plate1","S12","74","74","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",84,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_016_S12_L001_R2_001.fastq.gz"
"hja2016_018",2016,"HJA2016_Plate1","Plate1","S13","WS1-5","WS1-5","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",116,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_018_S13_L001_R2_001.fastq.gz"
"hja2016_019",2016,"HJA2016_Plate1","Plate1","S14","155","155","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",89,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_019_S14_L001_R2_001.fastq.gz"
"hja2016_020",2016,"HJA2016_Plate1","Plate1","S15","WS1-2","WS1-2","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",113,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_020_S15_L001_R2_001.fastq.gz"
"hja2016_021",2016,"HJA2016_Plate1","Plate1","S16","156","156","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",90,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_021_S16_L001_R2_001.fastq.gz"
"hja2016_027",2016,"HJA2016_Plate1","Plate1","S17","WS3-6","WS3-6","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",63,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_027_S17_L001_R2_001.fastq.gz"
"hja2016_029",2016,"HJA2016_Plate1","Plate1","S18","192","192","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",40,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_029_S18_L001_R2_001.fastq.gz"
"hja2016_030",2016,"HJA2016_Plate1","Plate1","S19","190","190","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",39,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_030_S19_L001_R2_001.fastq.gz"
"hja2016_031",2016,"HJA2016_Plate2","Plate2","S20","161","161","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",92,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_031_S20_L001_R2_001.fastq.gz"
