"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged","nonchim"
"hja2016_155","HJA2016_Plate1",167712,149922,144365,143937,118488,116837
"hja2016_157","HJA2016_Plate1",126267,113320,111005,110361,97206,96913
"hja2016_158","HJA2016_Plate1",1941,1636,1509,1424,1081,1077
"hja2016_159","HJA2016_Plate1",113953,99028,97255,95913,83815,83304
"hja2016_160","HJA2016_Plate1",330438,294592,286084,282312,239684,236788
"hja2016_161","HJA2016_Plate2",389,227,216,214,204,204
"hja2016_164","HJA2016_Plate2",755914,710349,687241,690948,606700,558490
"hja2016_165","HJA2016_Plate2",168,41,39,36,36,36
"hja2016_166","HJA2016_Plate2",165055,154324,152058,151722,142850,142090
"hja2016_167","HJA2016_Plate2",49253,45661,43773,43824,38261,38097
"hja2016_168","HJA2016_Plate2",318,238,222,227,196,196
"hja2016_169","HJA2016_Plate2",89378,82912,77738,78274,66772,65373
"hja2016_170","HJA2016_Plate2",106363,99291,94790,95246,84149,83233
"hja2016_171","HJA2016_Plate2",306,154,131,128,116,116
"hja2016_174","HJA2016_Plate2",7924,7320,7099,7078,6601,6532
"hja2016_176","HJA2016_Plate2",193,100,78,78,65,64
"hja2016_177","HJA2016_Plate2",115104,107187,103289,103376,92077,91368
"hja2016_179","HJA2016_Plate2",55983,52702,51149,51125,46666,46471
"hja2016_180","HJA2016_Plate2",153801,143341,138845,138922,126774,125211
"hja2016_181","HJA2016_Plate2",114241,106507,102358,102516,91138,90331
"hja2016_183","HJA2016_Plate1",1140428,990477,966341,964012,834793,804564
"hja2016_184","HJA2016_Plate1",105090,92184,87367,87055,69977,68951
"hja2016_185","HJA2016_Plate1",75813,64569,62240,59911,46710,46147
"hja2016_188","HJA2016_Plate1",78454,68816,66450,65916,55293,53759
"hja2016_189","HJA2016_Plate1",202234,181913,177435,176654,153848,151838
"hja2016_190","HJA2016_Plate1",55661,46603,44692,44174,35249,34900
"hja2016_191","HJA2016_Plate1",72822,62292,59362,58574,46107,45834
"hja2016_193","HJA2016_Plate2",110905,103023,99116,99575,89982,87552
"hja2016_194","HJA2016_Plate2",81619,76148,72255,72644,62036,61413
"hja2016_195","HJA2016_Plate2",455563,424325,415951,414458,373785,363982
"hja2016_196","HJA2016_Plate2",1383715,1278650,1250091,1250765,1133588,1104671
"hja2016_197","HJA2016_Plate2",61470,56602,53553,53566,45765,45147
"hja2016_198","HJA2016_Plate2",248484,231839,222239,222949,195527,190457
"hja2016_199","HJA2016_Plate2",166448,154737,150075,150210,135718,133349
"hja2016_200","HJA2016_Plate2",324806,298553,289172,289301,254900,249607
