"site_code","fticr_source_column","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","stream_master_row","hyporheic_master_row","sediment_master_row","include_sediment_multiblock","site_utm_x_m","site_utm_y_m","site_segment_number","site_drainage_area_ha","site_valley_slope_m_m","site_stream_slope_m_m","site_valley_width_m","site_segment_valley_avg_slope_m_m","site_segment_stream_avg_slope_m_m","site_segment_valley_avg_width_m","site_stream_order","site_segment_sinuosity_m_m","site_distance_to_outlet_m","sediment_hydraulic_conductivity_geomean_m_s","sediment_piezometer_depth_top_m","sediment_piezometer_depth_bottom_m","site_channel_width_m","site_channel_depth_m","site_discharge_downstream_m3_s","site_discharge_upstream_m3_s","site_peak_travel_time_hr","site_velocity_m_s","surface_water_temperature_c","surface_do_mg_l","surface_do_percent_saturation","surface_npoc_mg_l","surface_suva254","surface_spectral_slope_ratio","surface_tdn_mg_l","surface_integrated_absorbance_300_400_1_m","surface_absorbance_254_1_m","surface_absorbance_300_1_m","surface_absorbance_340_1_m","surface_absorbance_380_1_m","surface_spectral_slope_ratio_275_295_to_300_350","surface_integrated_fluorescence_ru","surface_eem_peak_a_ru","surface_eem_peak_c_ru","surface_eem_peak_t_ru","surface_fluorescence_index","surface_chloride_mg_l","surface_sulfate_mg_l","surface_sodium_mg_l","surface_potassium_mg_l","surface_magnesium_mg_l","surface_calcium_mg_l","surface_po4_mg_l","surface_no2_no3_mg_l_as_no3","surface_nh3_mg_l_as_nh3","hyporheic_water_temperature_c","hyporheic_do_mg_l","hyporheic_do_percent_saturation","hyporheic_npoc_mg_l","hyporheic_suva254","hyporheic_spectral_slope_ratio","hyporheic_tdn_mg_l","hyporheic_integrated_absorbance_300_400_1_m","hyporheic_absorbance_254_1_m","hyporheic_eem_peak_a_ru","hyporheic_eem_peak_c_ru","hyporheic_eem_peak_t_ru","hyporheic_fluorescence_index","hyporheic_chloride_mg_l","hyporheic_sulfate_mg_l","hyporheic_sodium_mg_l","hyporheic_potassium_mg_l","hyporheic_magnesium_mg_l","hyporheic_calcium_mg_l","hyporheic_po4_mg_l","hyporheic_no2_no3_mg_l_as_no3","hyporheic_nh3_mg_l_as_nh3","sediment_organic_content_percent","sediment_organic_content_duplicate_percent","sediment_nag_umol_g_hr","sediment_lap_umol_g_hr","sediment_glu_umol_g_hr","sediment_ap_umol_g_hr","sediment_nag_duplicate_umol_g_hr","sediment_lap_duplicate_umol_g_hr","sediment_glu_duplicate_umol_g_hr","sediment_ap_duplicate_umol_g_hr","sediment_d10_um","sediment_d50_um","sediment_d90_um","sediment_gravel_percent","sediment_sand_percent","sediment_mud_percent"
"WS1-3",25,"hja2016_177",,,52,114,176,TRUE,559404.482666841,4895069.8712829,522,92.1,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,0.000292,0.66,0.81,0.89,0.019,,,,,14.3,8.55,83.4,1.307,1.884228437,1.12182333,0,202.276344311,2.871405194,1.531949762,2.112071207,1.324883979,1.400927978,1172.643151959,0.140514232,0.064670065,0.092364023,1.488858063,1.19,1.08,3.787634815,0.924376609,1.8947,6.9172,0.04,0.04,0.06,14.3,8.55,89.7,2.689,1.086978643,1.31498605,0,145.576324169,2.820169009,0.14617593,0.063919783,0.094119386,1.511762401,1.41,1.27,3.715,0.4155,1.4802,7.4349,0.04,0,0.07,7.813,,0.0087,0.17671,0.02898,0.05733,,,,,27565.53868,73154.87974,86346.0883,0.99489922,0.00510078,0
"WS1-7",26,,,"hja2016_003",56,118,180,FALSE,559691.469992658,4894971.87561067,522,76,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,0.000147,0.66,0.81,1.47,0.109,,,,,15,8.88,88.1,0.9888,3.526562173,0.740920136,0,216.954424615,3.525805217,1.887686617,2.300287061,1.175796385,0.894383096,1467.906250213,0.207840885,0.099591263,0.049817922,1.46929088,1,1.34,3.719129169,0.954500145,1.7167,6.5586,0.04,0.01,0.08,18.4,8.29,88.6,3.48,1.32183908,0.895166459,0.02962,238.650386123,4.504038842,0.206821649,0.09114275,0.091402038,1.501964373,1.45,1.77,3.8131,0.4588,1.397,7.3301,0.07,0.01,0.05,8.317,,0.00614,0.09478,0.01607,0.02909,,,,,,,,,,
"WS1-8",27,"hja2016_174",,,57,119,181,TRUE,559768.466592268,4894955.87631724,522,73.5,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,0.00029,0.66,0.81,0.7,0.022,,,,,15,9.01,89.3,2.376,1.709884919,0.9265807,0.03377,241.828587155,3.926376634,2.056619688,2.57219168,1.342573242,1.020657796,1549.266324243,0.21359792,0.101168111,0.087304699,1.467505523,1.16,1.22,3.950728909,0.95638538,1.8015,6.9376,0.04,0.02,0.05,17.2,8.3,86.7,3.522,1.391961261,1.33760292,0.02277,235.080564011,4.541366561,0.228076876,0.103510914,0.061220881,1.469631455,0.79,0.61,3.6066,0.4176,1.329,7.1526,0.07,0.03,0.06,4.918,5.322,0,0.09737,0.01517,0.0369,0,0.03799,0.0108,0.03041,,,,,,
"WS1-5",28,"hja2016_179","hja2016_114","hja2016_018",54,116,178,TRUE,559517.477676657,4895016.87362342,522,87.9,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,2.64e-05,0.66,0.81,0.75,0.102,,,,,15.7,8.58,86.1,2.015,1.624878091,1.087483253,0,310.735051273,3.956709071,2.195696422,3.158231694,2.229563785,1.621162769,1382.227493469,0.180578916,0.087466116,0.087304699,1.467505523,1.29,1.69,3.660728921,0.916606543,1.6913,6.1288,0.04,0,0.14,18.5,7.71,82.1,1.973,1.990049751,1.027023569,0,181.481871143,3.67099528,0.188970379,0.081648724,0.063462688,1.503183757,1.34,1.43,3.6317,0.4198,1.3308,6.8314,0.04,0.01,0.06,6.406,,0.0098,0.12098,0.03513,0.03246,,,,,,,,,,
"WS1-4",29,,"hja2016_013",,53,115,177,FALSE,559453.480502956,4895042.87247524,522,89.8,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,8.81e-05,0.66,0.81,0.96,0.023,,,,,14.8,8.84,87.3,2.383,1.431157264,1.114550747,0,182.287264908,3.326465943,1.572945217,1.931549948,0.974884686,1.083668511,1368.992424647,0.186866256,0.086210403,0.053824501,1.472483401,1.28,1.48,3.927857355,0.961383457,1.8561,6.6621,0.04,0.01,0.06,17.3,6.1,63.8,2.953,1.389260942,0.903976028,0.1876,310.919792293,4.119032291,0.151680626,0.068574762,0.147293446,1.53430399,1.48,1.31,3.4895,0.3868,1.48,7.3962,0.04,0.01,0.11,4.75,,0.00207,0.04987,0.01468,0.01576,,,,,63803.70953,74343.74069,86624.92855,0.997658971,0.002341029,0
"WS3-1",30,"hja2016_167","hja2016_002","hja2016_008",58,120,182,TRUE,560508.433913191,4896516.80738205,511,96.4,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801,9.21e-05,0.66,0.81,1.08,0.043,,,,,15.5,9.07,90.7,2.273,1.842306286,0.997282936,0.03805,214.323155858,4.120874039,1.920017083,2.281092696,1.081237423,0.940380338,1369.414835894,0.190219407,0.086333965,0.074900713,1.41192223,1.2,1.24,4.135113863,1.261900783,1.5448,5.099,0.05,0.04,0.05,17.3,9.07,94.4,2.272,1.76056338,0.954287526,0.04005,228.961086033,3.980177613,0.203950921,0.090036742,0.080557603,1.481586034,0.62,0.45,4.0777,0.7816,1.1062,5.441,0.05,0.03,0.05,6.707,8.342,0.00263,0.06308,0.00534,0.0154,0.00287,0.09254,0.00694,0.02271,64465.84828,74771.37964,86724.35657,0.999207587,0.000792413,0
"WS3-2",31,"hja2016_169",,,59,121,183,TRUE,560554.431881789,4896487.80866272,511,95.7,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801,8.75e-05,0.48,0.64,0.66,0.084,,,,,15.2,9.32,92.7,2.679,1.602105189,0.847256535,0.2688,271.461702401,4.156121031,2.354678984,2.891227847,1.453092199,0.866266166,1533.077542558,0.203815796,0.097462343,0.102784439,1.44421335,1.15,1.32,4.473892302,1.28938351,1.5466,5.3596,0.05,0.02,0.04,15.6,8.99,90.2,6.147,1.010645487,1.125928755,0.04903,331.989424325,5.644570654,0.221032324,0.096753054,0.151071516,1.494129171,1.3,1.62,3.7297,0.7583,0.9446,4.7387,0.05,,,9.152,,0.01607,0.22088,0.01745,0.04763,,,,,24899.67473,72668.15164,86230.88241,0.990389428,0.009610572,0
"WS3-3",32,"hja2016_170",,"hja2016_062",60,122,184,TRUE,560639.428128111,4896408.81215143,511,93.4,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801,0.000291,0.65,0.8,0.56,0.048,,,,,14.8,9.47,93.7,2.609,1.795926462,0.901996928,0.02382,304.203248108,4.623469265,2.520463487,3.212112527,1.730126911,1.139550249,1602.291363803,0.196772882,0.095415062,0.103212403,1.43638654,1.1,0.97,4.224966047,1.228052555,1.4595,5.0164,0.05,0.02,0.06,19,5.24,56.5,3.144,1.584159356,0.92920994,0.03656,340.517400749,4.974616971,0.235541538,0.105423541,0.091408586,1.442703836,1.5,1.56,4.2482,0.8449,1.079,5.4879,0.04,,,7.118,,0.01413,0.27503,0.02585,0.06419,,,,,64443.82178,74757.18541,86721.06365,0.993959151,0.006040849,0
"WS3-4",33,"hja2016_168","hja2016_064",,61,123,185,TRUE,560692.425787583,4896348.81480109,510,81.3,-0.048358339,-0.047321766,7.084173199,-0.174316232,-0.153984685,8.807895836,2,1.143894954,425.0078962,,,,0.29,0.051,,,,,18.1,9.13,96.7,2.637,1.778932414,1.014313288,0,361.354228819,4.780018267,2.822093613,3.811933279,2.244331222,1.13437982,1645.273743556,0.209198295,0.10043444,0.104499739,1.449515321,1.29,1.22,4.109086886,1.215281696,1.3164,4.427,0.04,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,11.17,,0.01879,0.49007,0.06367,0.13834,,,,,64666.62136,74900.66175,86754.32568,0.996304302,0.003695698,0
"WS3-5",34,"hja2016_171",,,62,124,186,TRUE,560676.426494157,4896350.81471276,630,10.2,-0.320352246,-0.297985891,5.985930623,-0.264038584,-0.243953822,7.207806339,1,1.098938832,458.875664,,,,0.43,0.147,,,,,15.3,8.74,87.7,3.036,2.280920824,0.85320539,0.02239,436.296945919,6.889733641,3.751790623,4.673711157,2.35409911,0.876196581,2399.867657439,0.3384695,0.159580802,0.073050673,1.44218736,0.95,1.07,3.701534104,1.171606688,1.627,5.599,0.05,0,0.05,,,,,,,,,,,,,,,,,,,,,,,6.535,,0.00357,0.04906,0.00706,0.0188,,,,,,,,,,
