"site_code","fticr_source_column","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","stream_master_row","hyporheic_master_row","sediment_master_row","include_sediment_multiblock","site_utm_x_m","site_utm_y_m","site_segment_number","site_drainage_area_ha","site_valley_slope_m_m","site_stream_slope_m_m","site_valley_width_m","site_segment_valley_avg_slope_m_m","site_segment_stream_avg_slope_m_m","site_segment_valley_avg_width_m","site_stream_order","site_segment_sinuosity_m_m","site_distance_to_outlet_m","sediment_hydraulic_conductivity_geomean_m_s","sediment_piezometer_depth_top_m","sediment_piezometer_depth_bottom_m","site_channel_width_m","site_channel_depth_m","site_discharge_downstream_m3_s","site_discharge_upstream_m3_s","site_peak_travel_time_hr","site_velocity_m_s","surface_water_temperature_c","surface_do_mg_l","surface_do_percent_saturation","surface_npoc_mg_l","surface_suva254","surface_spectral_slope_ratio","surface_tdn_mg_l","surface_integrated_absorbance_300_400_1_m","surface_absorbance_254_1_m","surface_absorbance_300_1_m","surface_absorbance_340_1_m","surface_absorbance_380_1_m","surface_spectral_slope_ratio_275_295_to_300_350","surface_integrated_fluorescence_ru","surface_eem_peak_a_ru","surface_eem_peak_c_ru","surface_eem_peak_t_ru","surface_fluorescence_index","surface_chloride_mg_l","surface_sulfate_mg_l","surface_sodium_mg_l","surface_potassium_mg_l","surface_magnesium_mg_l","surface_calcium_mg_l","surface_po4_mg_l","surface_no2_no3_mg_l_as_no3","surface_nh3_mg_l_as_nh3","hyporheic_water_temperature_c","hyporheic_do_mg_l","hyporheic_do_percent_saturation","hyporheic_npoc_mg_l","hyporheic_suva254","hyporheic_spectral_slope_ratio","hyporheic_tdn_mg_l","hyporheic_integrated_absorbance_300_400_1_m","hyporheic_absorbance_254_1_m","hyporheic_eem_peak_a_ru","hyporheic_eem_peak_c_ru","hyporheic_eem_peak_t_ru","hyporheic_fluorescence_index","hyporheic_chloride_mg_l","hyporheic_sulfate_mg_l","hyporheic_sodium_mg_l","hyporheic_potassium_mg_l","hyporheic_magnesium_mg_l","hyporheic_calcium_mg_l","hyporheic_po4_mg_l","hyporheic_no2_no3_mg_l_as_no3","hyporheic_nh3_mg_l_as_nh3","sediment_organic_content_percent","sediment_organic_content_duplicate_percent","sediment_nag_umol_g_hr","sediment_lap_umol_g_hr","sediment_glu_umol_g_hr","sediment_ap_umol_g_hr","sediment_nag_duplicate_umol_g_hr","sediment_lap_duplicate_umol_g_hr","sediment_glu_duplicate_umol_g_hr","sediment_ap_duplicate_umol_g_hr","sediment_d10_um","sediment_d50_um","sediment_d90_um","sediment_gravel_percent","sediment_sand_percent","sediment_mud_percent"
"WS3-6",35,,"hja2016_027",,63,125,187,FALSE,560819.420179147,4896235.81979127,510,78.4,-0.048358339,-0.047321766,7.084173199,-0.174316232,-0.153984685,8.807895836,2,1.143894954,425.0078962,,,,2.5,0.022,,,,,18.3,9.04,96,2.713,1.695539993,0.854394258,0.337,285.689406969,4.559967133,2.477482454,3.04534334,1.520928201,0.900335454,1525.564349622,0.212956361,0.097294709,0.080150836,1.445432564,1.92,1.35,4.373362713,1.247951799,1.3782,4.909,0.04,0,0.05,,,,,,,,,,,,,,,,,,,,,,,8.216,,0.00543,0.4199,0.02155,0.06049,,,,,,,,,,
"45",36,"hja2016_122",,,3,65,127,TRUE,565977.192397151,4897892.74661664,390,193.2,-0.087352362,-0.076092921,12.00340046,-0.080386604,-0.070915098,14.73297921,3,1.147697678,429.7755376,0.000133,0.66,0.81,3.7,0.102,0.005991829,0.00708196,0.128888889,0.06,14.5,9.1,89.2,2.041,1.221720891,0.579830748,0,184.516844637,2.752378616,1.539984868,1.969476401,1.087519858,1.080139422,1005.071261937,0.141888528,0.06643189,0.063376226,1.465830948,1.05,0.92,3.4176,0.876,1.5046,5.5619,0.05,0,0.02,15.9,8.78,88.6,2.653,1.366893388,0.86401843,0,172.588461827,3.096220732,0.135772093,0.064028433,0.090723848,1.468008964,1.15,0.73,3.0729,0.8484,1.35375,5.03775,0.06,0.01,0.04,2.556,,0.00423,0.13821,0.02972,0.05748,,,,,10126.90515,67248.6283,84904.49703,0.996257328,0.003742672,0
"47",37,"hja2016_158",,"hja2016_015",4,66,128,TRUE,563254.31264732,4898130.73610634,134,1550.1,-0.02915982,-0.024029369,45.82483798,-0.031518728,-0.027493905,68.10247296,4,1.197246634,256.4510978,0.000576,0.42,0.57,5.35,0.213,0.04962314,0.044815805,0.166249999,0.129,14.2,9.72,94.7,0.8087,4.118150437,1.21847334,0,214.442603572,2.718383912,1.500009077,2.23398752,1.574644038,1.622693918,854.089131834,0.102733583,0.051639713,0.063398902,1.42985734,1.04,0.75,2.6213,0.5458,0.792,3.4231,0.04,0.03,0.05,15,9.72,96.4,1.651,1.159857888,0.675315498,0,108.090866916,2.005736644,0.104695618,0.048157934,0.05474362,1.4662005,1.13,0.7,2.6728,0.5774,0.82395,3.53115,0.04,0.02,0.04,3.827,,0.00138,0.02979,0.00742,0.01284,,,,,,,,,,
"49",38,"hja2016_159",,"hja2016_066",5,67,129,TRUE,563281.311454976,4898046.73981585,40,3399.1,-0.016483271,-0.01550516,210.7908365,-0.027490745,-0.023685985,165.254802,5,1.17152693,548.1831477,0.000277,0.53,0.69,7.8,0.188,0.247001447,0.386815451,0.19861111,0.227,13.9,9.89,96,1.426,1.451717569,0.848103437,0,137.162039123,2.040947971,1.036787746,1.45449702,0.923522681,1.509515199,743.884307717,0.106711878,0.045766425,0.059455098,1.487118039,1.05,0.8,2.2713,0.7507,1.2976,4.1687,0.04,0.01,0.06,16,9.83,99,1.432,1.147544401,0.770878728,0,85.125952842,1.732146597,0.092284864,0.042047156,0.041357668,1.373457023,1.37,0.87,1.8203,0.6781,1.02465,3.41205,0.05,,,2.521,,0.00814,0.40652,0.06951,0.07679,,,,,63769.56646,74321.63621,86619.77674,0.998316469,0.001683531,0
"50",39,"hja2016_160","hja2016_001","hja2016_005",6,68,130,TRUE,563054.321479503,4898132.73601802,41,4956.4,-0.011792019,-0.01085362,206.0407493,-0.020276645,-0.017390871,170.0788896,5,1.177412319,429.638789,0.0013,0.57,0.72,13,0.221,0.297460686,0.075076118,0.265370371,0.169,15.9,9.82,99.3,1.278,2.428000841,1.482987775,0,138.275381968,2.386740216,1.082710731,1.443081444,0.91228402,1.669520821,807.634639216,0.100191609,0.047228983,0.065425869,1.465537284,0.99,0.68,1.7756,0.5984,0.934,3.2723,0.04,0.03,0.06,16.4,9.73,102.5,1.094,1.690814665,0.782850097,0,118.039025424,2.068232752,0.097136788,0.044014847,0.065939643,1.50190078,1.05,0.77,2.2986,0.72295,1.14735,3.9409,0.04,0.01,0.05,3.231,,0,0.13684,0.02084,0.03153,,,,,,,,,,
"53",40,"hja2016_150","hja2016_116",,7,69,131,TRUE,568092.098996817,4898223.73199937,78,280.7,-0.060469765,-0.052193195,30.0360331,-0.120222194,-0.1007112,24.42247108,3,1.166173214,341.3601101,0.000143,0.54,0.69,3.3,0.098,0.03361809,0.081161312,0.060462962,0.27,8.2,10.99,93,1.459,1.371142915,1.114796436,0.03825,62.184835385,1.121381417,0.526250743,0.650005265,0.396466122,1.660083704,455.046694449,0.048128427,0.020470895,0.077418036,1.52810859,1.04,0.9,2.0556,1.0048,1.6262,4.9741,0.07,0.02,0.03,11,10.71,97.1,1.999,1.197115971,1.156521,0,44.986892816,1.330968317,0.043724191,0.019132628,0.078929251,1.388940236,1.07,1.03,2.2744,1.09675,1.8078,5.5586,0.06,0.02,0.04,7.695,,0.00446,0.13116,0.04423,0.06532,,,,,10577.96275,69701.25053,85514.96485,0.988158011,0.011841989,0
"54",41,"hja2016_123",,"hja2016_032",8,70,132,TRUE,561802.376768968,4897363.76997776,363,207.7,-0.072160546,-0.063155211,10.45758099,-0.206420831,-0.183452868,17.46528564,3,1.173722731,360.292001,0.00015,0.66,0.81,3.25,0.191,0.008041175,0.008111776,0.151666667,0.074,15,9.32,92.4,2.084,1.576808854,1.203734057,0,303.93979184,3.310000848,2.075846086,3.190251121,2.228625741,1.482650883,1215.255536779,0.136229147,0.061689,0.085602231,1.454179975,1.32,0.91,2.7861,0.7573,1.3961,4.4788,0.03,0.01,0.04,16.5,9.14,93.4,1.91,1.937172775,0.865067301,0.03066,241.170926945,3.877332966,0.127730667,0.056175846,0.074939751,1.497729826,0.85,0.61,2.51545,0.7379,1.2682,4.00675,0.04,0,0.06,5.287,,0.01503,0.07826,0.01311,0.02667,,,,,,,,,,
"55",42,,,,9,71,133,FALSE,562501.345900489,4897814.75006119,42,5152.9,-0.005990957,-0.004970782,55.48956642,-0.020097899,-0.016208155,102.1295252,5,1.267660529,346.620322,0.000546,0.66,0.81,11.7,0.559,0.259421391,0.242811257,0.257129629,0.258,15,9.7,96,2.275,1.440271172,1.524087121,0.05006,311.002681147,3.065716267,1.829850336,3.181245586,2.639707091,,770.799377716,0.105909352,0.047747638,0.056636883,1.518631613,1.03,0.77,2.3466,0.7072,1.1864,4.1615,0.04,0.01,0.02,16.3,9.53,97.1,2.593,1.260377634,1.240484,0,116.852942172,2.286488197,0.09738985,0.047748935,0.089692972,1.440216024,,,2.28915,0.70825,1.1717,3.92915,0.04,0.02,0.04,3.771,,0.0225,0.76288,0.04004,0.20694,,,,,,,,,,
"56",43,"hja2016_125","hja2016_119","hja2016_070",10,72,134,TRUE,562839.3309741,4897811.75019367,321,99.5,-0.078069378,-0.070271379,9.158894105,-0.132619694,-0.116311539,12.8350441,3,1.156806873,740.5470238,,0.65,0.8,0.52,0.032,0.002059645,0.002661778,0.093888891,0.054,16.8,9.21,94.6,3.065,1.523378215,0.977301351,0.02043,281.718240888,4.47417279,2.352895226,3.000033605,1.632303807,1.065002734,1666.410579415,0.236844654,0.107991178,0.070643298,1.511609423,1.04,0.89,3.0453,0.6741,1.9717,5.9642,0.05,0,0.03,22.9,8.72,100.4,2.761,1.738860929,0.88503108,0.02882,334.935980317,5.022600012,0.230881891,0.106482244,0.098544387,1.481968911,0.86,0.58,2.20075,0.58135,1.3701,4.38985,0.05,0.01,0.06,5.151,,0.00405,0.50317,0.01213,0.06487,,,,,,,,,,
"57",44,"hja2016_166",,"hja2016_107",11,73,135,TRUE,563668.294364702,4898599.71539487,131,1488.8,-0.033512753,-0.030026599,39.53345852,-0.033591322,-0.029651347,31.83417604,4,1.244666838,83.20617667,0.000645,0.51,0.66,8.9,0.162,,,,,16.8,9.24,95,1.271,1.89062555,0.935850338,0,127.682976971,2.068880347,1.051990401,1.349090253,0.785695355,1.398167701,766.820900638,0.106629272,0.049840964,0.052201603,1.502780221,1.31,0.73,2.6899,0.5827,0.8001,3.4397,0.04,0.02,0.05,17.9,8.9,94.7,1.228,2.713225404,1.121642728,0,132.294466617,2.337661753,0.097807666,0.04719065,0.060827723,1.481287665,1.14,1.03,2.19755,0.53725,0.67035,2.8714,0.04,0.02,0.03,4.101,,0.00311,0.01376,0.00358,0.00592,,,,,,,,,,
"58",45,"hja2016_126","hja2016_101",,12,74,136,TRUE,566998.147308857,4898497.71989928,385,67.2,-0.117626837,-0.108520244,13.66327824,-0.097847311,-0.082468256,18.5428243,3,1.194522152,974.246413,0.000195,0.66,0.81,1,0.032,0.002276633,0.00262044,0.155000001,0.048,12.5,9.49,89.1,1.85,0.864864865,0.718551584,0,218.397338217,1.916453098,1.322519639,2.255399518,1.799664818,2.063490614,569.597565223,0.064682358,0.031874995,0.052822848,1.462030182,1.23,0.83,2.5761,0.59,1.0607,4.4023,0.05,0,0.04,16.1,9.43,95.3,2.035,0.786485264,1.078787791,0,67.844299546,1.696502896,0.060855579,0.028396044,0.068075274,1.42556848,1.27,0.77,1.895,0.51705,0.7959,3.26795,0.04,0,0.04,6.459,5.419,0.00184,0.1051,0.01802,0.02352,0.00209,0.02856,0.00916,0.01824,,,,,,
"60",46,"hja2016_127",,"hja2016_009",13,75,137,TRUE,567391.129953618,4898693.71124374,316,43.1,-0.043237492,-0.036031856,14.09509403,-0.061083346,-0.056212865,9.660125633,2,1.116434128,144.250975,5.06e-06,0.66,0.81,1.59,0.276,0.005808315,0.005411955,0.043611112,0.125,11.6,10.04,92.2,2.397,1.12806846,0.854836553,0,210.478980796,2.714383418,1.603951031,2.220864364,1.365118716,1.328296505,1054.934915693,0.124319415,0.059520732,0.076242827,1.466955931,1.61,1.3,2.2563,0.9626,1.9202,5.2996,0.06,0,0.03,15.6,8.14,81.9,2.509,1.823286913,1.032969897,0.02017,237.305455443,3.440424921,0.104611984,0.044752916,0.068224501,1.499202853,1.11,0.85,2.4004,0.8823,2.0593,5.38575,0.05,0.02,0.07,10.725,,0.00304,0.06883,0.01116,0.0266,,,,,,,,,,
"64",47,"hja2016_151","hja2016_100","hja2016_079",14,76,138,TRUE,570527.99142083,4895508.85189625,163,33.5,-0.168028279,-0.157001138,8.506642224,-0.168583943,-0.149873133,21.60975689,2,1.147515328,1003.388888,0.00013,0.53,0.69,0.762,0.003,0.00035049,0.000505251,0.124722222,0.035,11.7,9.62,88.1,2.167,1.30611364,0.873025207,0,160.931194905,2.714796031,1.380096979,1.703328637,0.916998351,1.221680888,1035.519037741,0.137224387,0.064831343,0.074389636,1.508752042,0.93,0.7,1.0758,0.3349,0.5108,1.9107,0.03,0.01,0.04,14.6,8.93,88.2,1.344,3.10458688,0.727328125,0.3472,173.982127944,3.148633155,0.157401023,0.072693221,0.131687992,1.476808654,,,,,,,,,,16.259,18.691,0.02131,0.62957,0.11842,0.22912,0.02688,0.694,0.11803,0.13005,,,,,,
"65",48,"hja2016_161",,,15,77,139,TRUE,569840.021803539,4897845.7486922,88,73.9,-0.300355637,-0.290661364,7.543521331,-0.225084748,-0.201625645,11.20860417,2,1.127108956,1169.543448,0.000733,0.51,0.66,4.42,0.084,0.01783424,0.016953498,0.095231483,0.096,11.5,10.1,93.2,1.001,4.087454834,1.273793345,0,229.751307286,2.660052812,1.564259703,2.390160955,1.72352431,1.931371025,929.717527183,0.104536085,0.049200268,0.061711546,1.508463217,1.08,0.81,2.3138,0.8754,1.7693,5.8646,0.05,0,0.04,13.5,9.91,95.3,1.777,1.462580177,1.070459756,0,156.42390518,2.877193342,0.092246488,0.046498522,0.05628491,1.45576218,1.14,0.8,2.3023,0.8938,1.7465,6.0184,0.04,0,0.05,3.868,,0.00338,0.24831,0.02788,0.1344,,,,,65167.34751,75222.31511,86828.70957,0.99730727,0.00269273,0
"66",49,"hja2016_152",,,16,78,140,TRUE,567970.104384448,4898153.73509064,79,1360.7,-0.115484583,-0.103557939,37.82663766,-0.070918875,-0.060527918,30.49480502,4,1.179095483,153.3509319,0.000292,0.58,0.74,6.2,0.257,0.169317004,0.18182354,0.103333332,0.24,10.2,10.45,93.4,2.041,1.665850073,1.490179407,0.02609,121.741069628,2.357040725,0.92332446,1.269374126,0.840493433,1.953628165,700.448759797,0.075112831,0.036988516,0.097943433,1.472076191,1.09,0.83,2.1076,0.9103,1.4764,4.6081,0.06,0.07,0.02,12.3,10.43,97.2,1.736,1.637836165,0.829495356,0,76.589905959,1.901475801,0.072263651,0.033690863,0.076747689,1.513624369,1.08,0.89,2.1213,0.9321,1.4642,4.5451,0.05,0.06,0.05,3.618,3.435,0.05511,0.79892,0.11724,0.23887,0.01874,0.44388,0.06777,0.15188,22822.41562,70331.55992,85669.07103,0.994856603,0.005143397,0
"68",50,"hja2016_128",,"hja2016_065",18,80,142,TRUE,565145.229139031,4897899.74630751,30,3032.2,-0.029596739,-0.026594973,70.67868985,-0.033739218,-0.028128782,103.4146844,5,1.214742628,456.9712596,0.000494,0.66,0.81,8.1,0.175,0.207235324,0.231388835,0.135138889,0.238,12.4,9.91,92.9,1.973,1.115053218,1.379620677,0,190.041833836,2.45314735,1.322801998,1.982455875,1.395560115,1.878883155,810.176234569,0.099507287,0.047395954,0.076945133,1.503547367,1.04,0.76,2.0905,0.7486,1.2534,3.993,0.05,0.08,0.02,13.2,8.68,82.8,2.947,1.018659671,0.443612958,0.03178,113.58908654,2.120292935,0.090407752,0.041034605,0.078005522,1.398390987,1.34,0.76,2.251,0.7841,1.3369,4.2103,0.04,0.02,0.04,3.888,,0,0.10684,0.01565,0.0438,,,,,,,,,,
"71",51,,,"hja2016_057",19,81,143,FALSE,562662.338790582,4897988.74237719,556,101.7,-0.075076466,-0.064620158,7.618677244,-0.066699456,-0.053480998,27.64914734,3,1.234710245,662.1800926,0.000132,0.6,0.75,2.1,0.038,0.001331961,0.001490657,0.174999998,0.029,15.3,9.53,95.6,2.628,1.370052326,0.996244233,0,209.920573723,3.466438028,1.763318106,2.224089223,1.238289912,1.286854511,1459.655236507,0.184931102,0.084769775,0.095782248,1.505565838,1.1,0.82,3.9383,0.752,1.2015,5.8039,0.06,0.02,0.02,20.6,8.91,99,2.984,1.306970509,1.094656307,0.02001,218.73765542,3.919723708,0.17223721,0.083136452,0.095193257,1.479966436,1.19,0.64,4.2975,0.8289,1.2643,6.0231,0.06,0.01,0.04,3.636,,0,0.05367,0.0134,0.03185,,,,,,,,,,
"72",52,"hja2016_129",,,20,82,144,TRUE,566542.167446234,4896499.80813279,16,568.3,-0.056788812,-0.053189975,27.65471602,-0.090830035,-0.079896585,18.04689926,4,1.147446563,226.5243578,0.000224,0.48,0.64,4.06,0.191,,,,,13,9.48,90,2.2,1.409090909,0.946948904,0.02039,169.692841754,2.647333022,1.452214366,1.799941436,0.981383644,1.112731359,1063.024522904,0.145176779,0.066617859,0.070340026,1.469780225,1.08,0.97,1.9491,0.6107,1.1787,3.5862,0.05,0.08,0.02,13.9,9.45,91.5,2.235,1.570224938,0.874513574,0.04073,159.811684372,2.79342521,0.136757979,0.065133227,0.081322945,1.410867206,1.03,0.77,2,0.6281,1.1845,3.6521,0.04,0.08,0.04,4.319,,0.01645,0.48283,0.05671,0.1256,,,,,,,,,,
"73",53,,,"hja2016_102",21,83,145,FALSE,566310.177691566,4896786.79545861,255,137,-0.240080562,-0.207612342,8.701940435,-0.221981927,-0.193983572,13.22052871,2,1.158282148,749.9591592,0.000196,0.66,0.81,4.6,0.229,,,,,14,9.38,91,2.376,1.473063973,0.900131984,0.1127,199.28767038,3.356017493,1.730438364,2.122095066,1.102858757,1.113143418,1345.600121617,0.183383741,0.085782884,0.082545803,1.442798529,0.94,0.76,1.8536,0.4807,0.93,2.8367,0.04,0.26,0.03,15.7,9.18,92.4,2.518,1.965944701,0.941793044,0.09965,219.068000659,3.581539039,0.175617881,0.085412066,0.12878485,1.470282894,0.97,0.73,1.8623,0.4887,0.9373,2.8797,0.03,0.25,0.03,3.302,,0.00804,0.33871,0.05901,0.11797,,,,,,,,,,
"74",54,"hja2016_131",,"hja2016_016",22,84,146,TRUE,565310.221852481,4897724.75403567,373,70,-0.074200401,-0.068083171,21.30469527,-0.137146506,-0.118435042,37.42017097,2,1.212599024,171.9794298,0.000162,0.61,0.76,1.75,0.07,0.001637801,0.001833742,0.067314815,0.045,13.3,9.17,87.4,1.848,1.515151515,0.716068081,0,146.989869705,2.782374819,1.270563234,1.574278367,0.822659211,1.184079792,936.190277735,0.129799721,0.062032027,0.050811257,1.511973589,1.04,0.72,1.8685,0.5211,0.6788,2.882,0.04,0.01,0.05,16.4,9.28,94.4,2.629,1.338874286,1.105051055,0,162.7463135,2.94110838,0.116289438,0.057614301,0.056189306,1.445272264,1.07,0.87,2.3939,0.6091,0.836,3.3806,0.04,0.01,0.04,5.63,,0,0.03317,0.00902,0.01625,,,,,,,,,,
"76",55,,,"hja2016_110",23,85,147,FALSE,570464.994202967,4896947.7883487,150,303.5,-0.052870797,-0.048879363,18.21707903,-0.084730679,-0.073594127,15.66722072,3,1.173050831,530.0336208,,0.56,0.71,4.3,0.144,0.010585702,0.011021724,0.491666666,0.033,12,9.68,89.8,3.013,0.694833169,0.838366415,0.04889,88.061502296,1.673179223,0.801017526,0.916045665,0.488216303,1.232881869,857.287679109,0.112400496,0.055518042,0.069404702,1.546466901,1.33,0.82,1.1941,0.4174,0.5282,1.9693,0.04,0.15,0.03,14.8,9.57,94.6,2.301,1.470915739,0.941304107,0.05789,91.641534087,2.062578516,0.112968683,0.051573379,0.096893723,1.527008299,0.98,0.76,1.2759,0.4427,0.5681,2.0692,0.03,0.09,0.05,3.476,,0.00537,0.16332,0.03034,0.07591,,,,,23529.07766,69354.39286,85429.68448,0.996901871,0.003098129,0
"82",56,"hja2016_155",,,24,86,148,TRUE,564452.259742545,4899854.65997292,536,36.6,-0.085615209,-0.080945397,15.57254467,-0.16845596,-0.147613866,17.17200183,2,1.152868486,436.2855652,4.23e-05,0.64,0.79,0.4826,0.038,0.000288817,0.000551372,0.120555555,0.026,13.4,9.53,91.6,1.588,2.331541286,1.267137594,0.1121,138.894973306,2.732318916,1.19620473,1.481022487,0.798856838,1.298558286,1228.975390434,0.133226064,0.058051208,0.058472748,1.535732028,1.04,0.7,4.052,1.0524,0.8719,4.4349,0.05,0.01,0.04,19.3,9.28,100.7,4.541,1.012992733,1.187532092,0.05872,215.210329992,3.980670108,0.131587944,0.058033013,0.131322456,1.515555281,1.08,0.8,2.5214,0.745,0.559,2.7002,0.05,0.01,0.06,3.498,,0.00409,0.02718,0.01387,0.01556,,,,,,,,,,
"83",57,,,,25,87,149,FALSE,565376.21893786,4900765.61974233,416,154.4,-0.296362264,-0.27967608,22.82064019,-0.062807991,-0.055170617,17.51103966,3,1.159975533,350.2536502,0.000148,0.65,0.8,1.3,0.1,0.002811505,0.00312654,0.13888889,0.073,13.8,9.43,91.1,1.819,1.436741526,1.119214455,0,127.654621431,2.251649855,1.069781378,1.338375349,0.798443838,1.423132703,887.913407978,0.09996334,0.050670821,0.076422987,1.503868945,1.18,0.72,3.4134,0.7244,1.1837,5.0611,0.04,0.01,0.04,15.6,9.25,93.6,2.158,1.57968268,1.264457603,0,117.398838543,2.115439294,0.094895625,0.04760475,0.096191854,1.431383723,1.15,0.75,3.297,0.7138,1.137,4.8334,0.04,0,0.04,7.743,,0.00525,0.12267,0.02606,0.03084,,,,,,,,,,
"84",58,"hja2016_132",,"hja2016_121",26,88,150,TRUE,566447.171641521,4900685.6232752,112,622.7,-0.094390432,-0.092185768,16.18687395,-0.068115114,-0.058241139,23.57085995,4,1.180056061,589.6388792,0.000315,0.66,0.81,3,0.292,0.023979544,0.026255649,0.167222223,0.092,12.8,9.41,88.9,1.754,1.233569893,1.369563574,0,103.743163435,2.031104552,0.851074952,1.083637363,0.650350462,1.731580043,710.359468792,0.079432032,0.037106014,0.077152196,1.455897499,1,0.71,1.965,0.4748,0.7309,2.9994,0.04,0.02,0.04,14.8,9.31,91.8,0.599,4.173622705,1.117428937,0,95.328075576,1.970130675,0.077550315,0.034577297,0.058436524,1.45785266,1.1,0.69,1.803,0.4615,0.6794,2.7698,0.04,0.02,0.05,4.95,,0.01007,0.09716,0.01341,0.04529,,,,,,,,,,
"155",59,"hja2016_145",,"hja2016_019",27,89,151,TRUE,565811.199727862,4897652.75721525,345,81.2,-0.134617845,-0.124531506,8.095929766,-0.170310403,-0.149651299,13.36148544,2,1.160255254,511.7981462,0.000188,0.67,0.83,0.8636,0.051,0.004073061,0.0057662,0.062500001,0.083,13.1,9.76,93.3,2.021,1.494260513,1.026602529,0.02429,175.404704295,2.718760407,1.461120991,1.862584543,1.066784417,1.195648701,951.219495645,0.129590894,0.06022642,0.060111459,1.49885795,1.01,0.75,2.3019,0.5463,0.9848,3.4074,0.04,0.02,0.01,15.7,9.46,95.6,2.918,1.933955991,1.172271508,0.05262,322.471015975,4.435240558,0.148383977,0.069311491,0.15258674,1.492701986,1.19,0.9,2.3584,0.6392,1.0091,3.4351,0.06,0.02,0.03,5.517,,0.00289,0.08866,0.01446,0.03602,,,,,,,,,,
"156",60,"hja2016_146","hja2016_044","hja2016_021",28,90,152,TRUE,566141.185154761,4897558.76136638,24,2575.9,-0.002018132,-0.001656933,62.16885885,-0.043737753,-0.036463055,65.26596032,5,1.225872783,427.4193177,0.000195,0.56,0.71,8.3,0.227,0.213031188,0.191834112,0.305277776,0.181,12.5,10.08,94.5,2.072,1.198640005,1.211105914,0.02506,102.762768226,1.982198693,0.882254128,1.073366448,0.602960928,1.351530164,857.54665704,0.097557779,0.047846345,0.087360763,1.469670759,1.13,0.79,2.2659,0.8409,1.408,4.4408,0.04,0.03,0.04,14.9,10.04,99.8,2.378,1.304244128,1.277328615,0,88.274811608,2.203307197,0.096382112,0.043423492,0.087234579,1.450627675,1.07,0.86,2.2388,0.8379,1.4138,4.4014,0.04,0.05,0.08,2.811,3.13,0.01021,0.48684,0.03326,0.06315,0.00476,0.04333,0.01435,0.02834,,,,,,
"160",61,,"hja2016_111","hja2016_081",29,91,153,FALSE,566416.173010509,4897492.764281,24,2569.5,-0.002018132,-0.001656933,62.16885885,-0.043737753,-0.036463055,65.26596032,5,1.225872783,427.4193177,0.000152,0.49,0.64,9.64,0.307,0.214127201,0.252356065,0.223259261,0.174,13.5,10.02,96.9,1.17,1.743844878,0.91324735,0.06496,118.718050201,1.837630592,0.951799404,1.224758159,0.769868489,1.644711527,808.403412693,0.105745414,0.048774005,0.071086354,1.495287906,1.07,0.77,2.0733,0.7712,1.2745,4.0528,0.05,0.04,0.1,14.5,9.77,96,1.269,2.206461781,1.358008909,0,126.9552566,1.864067079,0.10795102,0.047283696,0.061982806,1.480795844,1.06,0.79,2.057,0.783,1.2781,4.113,0.04,0.05,0.08,4.569,,0.0028,0.30602,0.08887,0.02278,,,,,,,,,,
"161",62,"hja2016_133",,"hja2016_031",30,92,154,TRUE,561109.407372482,4897170.77850081,51,5699.1,-0.007630794,-0.006760234,42.67233074,-0.020158631,-0.016325195,78.94675898,5,1.254207335,393.7080053,0.000421,0.66,0.81,11.4,0.356,0.291518504,0.271629727,0.277605557,0.2,18.2,8.89,94.3,1.831,1.478679785,1.368796403,0.04912,130.015352535,2.455788548,1.032178182,1.355940204,0.851689152,1.844151707,875.739263577,0.106966375,0.04909567,0.082205462,1.495606742,1.06,0.74,2.3783,0.6999,1.1306,3.9399,0.04,0.01,0.04,20.3,8.49,94,3.163,1.057941403,1.035970614,0.02668,179.409101962,3.089137913,0.120435134,0.050715215,0.10350556,1.363505224,1.11,0.75,2.4459,0.7397,1.1108,3.788,0.05,0.01,0.07,3.589,,0,0.03524,0.006,0.01129,,,,,,,,,,
"162",63,,"hja2016_099",,31,93,155,FALSE,559348.485139852,4895468.85366269,66,6208.4,-0.012100132,-0.008005579,33.52005344,-0.014432699,-0.01110675,39.48974449,5,1.216440257,222.6371993,0.000464,0.66,0.81,14,0.185,0.313694183,0.270916408,0.408452381,0.155,17.1,9.62,99.7,3.107,0.816804295,1.324825142,0.02959,110.676126015,2.180077362,0.942533917,1.166342738,0.681542856,1.682827668,885.87473663,0.111707927,0.048046658,0.089941307,1.467046212,1.34,0.85,2.2386,0.6253,1.0525,3.8558,0.06,0.01,0.09,19.9,9.32,102.6,2.877,1.164839688,1.407182874,0.02742,174.975050876,2.497125903,0.116746112,0.0487869,0.083239511,1.388939193,1.16,0.66,2.4891,0.6825,1.1488,4.0612,0.04,0.01,0.07,2.382,,0,0.10054,0.0168,0.05661,,,,,,,,,,
