"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged","nonchim","filter_retention","merge_retention","final_retention","qc_flag"
"hja2016_078","HJA2016_Plate1",26259,22281,22004,21633,20346,20271,0.848509082600251,0.913154705803151,0.771963898092083,"OK"
"hja2016_079","HJA2016_Plate1",33493,28367,28028,27400,25308,25161,0.8469530946765,0.892163429336906,0.751231600632968,"OK"
"hja2016_080","HJA2016_Plate1",10227,8818,8717,8432,8075,8009,0.862227437176103,0.915740530732592,0.783123105505036,"OK"
"hja2016_081","HJA2016_Plate1",13365,10850,10666,10335,9375,9337,0.811821922933034,0.86405529953917,0.698615787504676,"OK"
"hja2016_084","HJA2016_Plate1",56050,47670,47436,46837,45103,44478,0.850490633363069,0.946150618837843,0.793541480820696,"OK"
"hja2016_099","HJA2016_Plate2",90371,84374,80581,80706,71493,70870,0.933640216441115,0.847334486927252,0.784211749344369,"OK"
"hja2016_100","HJA2016_Plate2",102792,95953,90905,91199,81718,80837,0.933467585026072,0.851646118412139,0.786413339559499,"OK"
"hja2016_101","HJA2016_Plate2",89702,83295,79575,79757,70566,69823,0.928574613720987,0.847181703583649,0.778388441729281,"OK"
"hja2016_102","HJA2016_Plate2",62601,58305,53651,53941,45233,44648,0.931374898164566,0.775799674127433,0.71321544384275,"OK"
"hja2016_103","HJA2016_Plate2",94718,87385,81320,81696,70047,69136,0.922580713275196,0.801590662012931,0.729914060685403,"OK"
"hja2016_105","HJA2016_Plate2",92604,86276,81289,81682,70330,69430,0.93166601874649,0.81517455607585,0.74975163059911,"OK"
"hja2016_106","HJA2016_Plate2",705421,656146,638560,638815,594809,579943,0.930148095959718,0.906519280769829,0.822123242716052,"OK"
"hja2016_107","HJA2016_Plate2",737197,685631,663860,664250,606015,594437,0.930051261738721,0.883879229498083,0.80634755703021,"OK"
"hja2016_109","HJA2016_Plate2",70037,64099,62959,62716,58372,57915,0.915216242843069,0.910653832353079,0.826920056541542,"OK"
"hja2016_110","HJA2016_Plate2",132403,122857,121650,121422,115165,113718,0.927901935756743,0.93739062487282,0.858877819988973,"OK"
"hja2016_111","HJA2016_Plate2",93919,87062,81797,82182,72086,71018,0.926990278857313,0.827984654613953,0.756162224895921,"OK"
"hja2016_114","HJA2016_Plate2",148958,137899,130661,131017,114854,113466,0.925757596100914,0.832884937526741,0.761731494783765,"OK"
"hja2016_116","HJA2016_Plate2",124929,116526,110123,110584,96267,95287,0.932737795067598,0.826141805262345,0.762729230202755,"OK"
"hja2016_119","HJA2016_Plate2",716707,668437,644593,645487,584659,569978,0.932650302006259,0.874665824901973,0.795273382288718,"OK"
