"sample_id","site_code","habitat","original_reads","rarefaction_depth","q0","q1","q2"
"hja2016_100","64","planktonic",80837,10000,2949,1613.44382179827,794.003684177146
"hja2016_101","58","planktonic",69823,10000,3266,1942.10322496345,996.134996214694
"hja2016_102","73","hyporheic",44648,10000,2855,1693.47359977552,935.488699296562
"hja2016_103","260","planktonic",69136,10000,3062,1779.80839964035,912.825193975428
"hja2016_105","178","planktonic",69430,10000,3020,1732.83743821503,901.615695326102
"hja2016_106","170","planktonic",579943,10000,3453,1800.4837367205,780.883960643545
"hja2016_107","57","hyporheic",594437,10000,4247,2657.82105441558,1382.39929221135
"hja2016_109","169","planktonic",57915,10000,2835,1841.5797412419,1075.19944949783
"hja2016_110","76","hyporheic",113718,10000,3049,2018.75536665944,1247.1938139186
"hja2016_111","160","planktonic",71018,10000,3072,1663.03982073257,753.057413097249
"hja2016_114","WS1-5","planktonic",113466,10000,3410,1963.62267466671,913.809488997825
"hja2016_116","53","planktonic",95287,10000,3490,2188.26525049854,1207.26289356759
"hja2016_119","56","planktonic",569978,10000,3994,2282.01600128203,1026.67296359407
"hja2016_121","84","hyporheic",520108,10000,3357,1758.85175761582,778.791937945953
"hja2016_122","45","sediment",81642,10000,2853,1503.8064277854,682.88285827455
"hja2016_125","56","sediment",74159,10000,2754,1429.82132222212,634.26824472611
"hja2016_164","260","sediment",558490,10000,2863,1241.26577914525,391.15366863026
"hja2016_166","57","sediment",142090,10000,2724,1308.92311870603,554.127138930793
"hja2016_167","WS3-1","sediment",38097,10000,2532,1486.92494845185,750.716934672671
"hja2016_169","WS3-2","sediment",65373,10000,2653,1495.3831054892,737.756923848791
"hja2016_170","WS3-3","sediment",83233,10000,2886,1500.56175754148,636.877770418352
"hja2016_177","WS1-3","sediment",91368,10000,2718,1447.35355416057,640.36065111876
"hja2016_179","WS1-5","sediment",46471,10000,2281,1125.74489746541,458.353959261503
"hja2016_180","WS1-6","sediment",125211,10000,2594,1171.90174588628,424.978538583806
"hja2016_181","177","sediment",90331,10000,2940,1537.37452586226,666.03615244241
"hja2016_193","HJA-2016_soil_12","soil",87552,10000,1570,501.219894083531,83.3000133280028
"hja2016_194","HJA-2016_soil_13","soil",61413,10000,2840,1601.87435192193,748.446972532065
"hja2016_195","HJA-2016_soil_14","soil",363982,10000,2480,1009.33950621613,280.101060462616
"hja2016_196","HJA-2016_soil_16","soil",1104671,10000,4145,2239.73165805147,769.053295393489
"hja2016_197","HJA-2016_soil_17","soil",45147,10000,1669,847.76798357766,302.335846752006
"hja2016_198","HJA-2016_soil_18","soil",190457,10000,3037,1626.05585363413,727.092937019281
"hja2016_199","HJA-2016_soil_19","soil",133349,10000,2415,1125.06318537314,341.07807959398
"hja2016_200",,"soil",249607,10000,3206,1706.69324443839,732.021550714533
